"ACHMIL"	"ARRELA"	"BROERE"	"CENJAC"	"CONARV"	"CREPIS"	"DACGLO"	"DAUCAR"	"ELYREP"	"ERYNGE"	"FESRUB"	"GALVER"	"LEUVUL"	"ONOREP"	"PICECH"	"PLALAN"	"POAANG"	"RANACR"	"RUMACE"	"SALPRA"	"TAROFF"	"TRIPRA"
"ACHMIL"	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	-0.00987650762239548	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15
"ARRELA"	1e-15	1e-15	1e-15	1e-15	0.000531031176981989	0.0143205133487363	0.000384862710905177	0.000591698641452402	-0.0052396651715125	-0.00263851561243349	1e-15	0.000128312291055396	-6.44103396639098e-05	0.00509117060445046	1e-15	1e-15	0.0110407813009567	1e-15	0.00660959853022656	-0.000147370202464319	1e-15	1e-15
"BROERE"	0.00552587896479039	1e-15	1e-15	1e-15	-0.0030392607199417	1e-15	0.00247349305256471	1e-15	1e-15	0.00355854748601799	0.00190041765934392	1e-15	-0.00299331399792841	0.00150906748157667	1e-15	1e-15	0.00767986897119164	1e-15	-0.000517577600379459	-0.00185166453338147	1e-15	-0.00357360732720396
"CENJAC"	1e-15	1e-15	0.0108154385796639	-0.00649601596418307	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	0.0199851898978639	1e-15	1e-15	-0.0500686178254544	-0.00022981316520969	1e-15	1e-15	1e-15	1e-15	1e-15	0.0372561894856169
"CONARV"	1e-15	0.0017920236034362	1e-15	1e-15	1e-15	1e-15	-0.00103832196463553	1e-15	-0.0152351352538211	0.0038516960288126	0.0020242114818317	-0.00124329453395138	1e-15	-0.00201921027125933	1e-15	0.00106211827356757	-0.012839928720956	1e-15	-0.00526816420110528	-0.00857669136555103	-0.000579131374900396	0.00271201260482762
"CREPIS"	1e-15	1e-15	1e-15	1e-15	1e-15	-0.0182463370199429	0.0174987041324378	-0.0100888939904413	1e-15	-0.010111033296688	1e-15	1e-15	-0.0297668449790515	-0.00334931041642717	-0.0080364704859913	0.0140430020119822	1e-15	1e-15	-0.0679699596218527	1e-15	1e-15	1e-15
"DACGLO"	-0.0119657164893637	1e-15	0.0018059741682771	1e-15	1e-15	0.00442041233061109	-0.000128851155623239	0.00105087244728276	1e-15	1e-15	1e-15	0.00468265167027623	-0.00196536546473826	1e-15	0.00600531291390221	0.000355847779894502	-0.000469932890844118	-0.00749286773822078	0.00407285380584111	-0.000158820326567582	0.00782584023010261	1e-15
"DAUCAR"	1e-15	1e-15	0.0014534974307832	-0.0141258604043983	-0.0139510848068867	1e-15	1e-15	1e-15	-0.0333079161039403	-0.00231514259162781	0.00642283871017622	1e-15	-0.0125932800005201	0.0119244538603033	1e-15	-0.00661010253205765	-0.0384387182830073	0.00795781733355351	-0.0807723333958586	0.00672870684260825	-0.000624963050533044	0.0204312824715581
"ELYREP"	1e-15	1e-15	0.00383131305781101	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	0.0153162775391606	0.0103106920254094	1e-15	-0.0204026608489869	-0.00324401650739136	1e-15	-0.000458742859918112	0.0216097385696851	-0.00724464766087357	-0.0274753706321794	-0.00396476026525688	0.0192033608800125	1e-15
"ERYNGE"	1e-15	1e-15	1e-15	0.0299660492362701	0.00644923371472117	0.00150748966545702	-0.0033696190391312	-0.000966544487099297	1e-15	0.00784415072805428	0.00478935202538992	1e-15	1e-15	0.013162050760977	0.0164608617764785	0.0011778935972342	0.000837770449688409	-0.00765993006129641	1e-15	-0.010703944430366	1e-15	1e-15
